shot_num,distance_to_goal,play_pattern,duration,shot_speed,angle_to_goal,players_between_goal,players_within_1,players_within_5,players_within_10,opponents_within_5,teammates_within_5,shot_taker_type,shot_technique,shot_body_part,goalkeeper_in_the_way,one_on_one,pass_length,pass_angle,pass_speed,goal
19311,13.852075656738238,Open Play,0.0805,172.0754739967483,0.555870809154158,2,1,3,8,2,1,midfield,Normal,Right Foot,1,0,-1.0,-1.0,-1.0,0
19312,24.67164364204379,Free Kick,1.0585,23.30811869819914,0.4154920959408907,8,0,1,1,0,1,midfield,Normal,Right Foot,1,0,-1.0,-1.0,-1.0,0
19313,38.16975242256622,Open Play,1.923209,19.84690817408104,0.21165766724861698,1,0,1,2,1,0,midfield,Normal,Right Foot,1,0,-1.0,-1.0,-1.0,0
19314,22.30896680709351,Open Play,1.142592,19.52487572737557,1.225963602817078,1,0,2,2,2,0,midfield,Volley,Right Foot,1,0,-1.0,-1.0,-1.0,0
19315,26.660832695172896,Open Play,1.669187,15.97234623512698,0.5857142780223467,1,0,1,2,1,0,midfield,Normal,Right Foot,1,0,57.1176,1.2335432,16.178587732509275,0
19316,13.729530217745978,Open Play,1.1434,12.007635313753697,0.6874978556589868,3,0,2,5,2,0,midfield,Normal,Right Foot,1,0,-1.0,-1.0,-1.0,1
19317,12.899612397277677,Open Play,1.984155,6.501312849690512,0.1853479499956947,2,0,2,4,2,0,forward,Half Volley,Left Foot,1,0,16.140013,1.9317424,13.767817445678553,0
19318,13.699999999999998,Open Play,0.637092,21.503958611943013,1.0253212578671134,1,0,2,6,2,0,midfield,Normal,Right Foot,1,0,14.541664,0.07571704,10.475948619618094,0
19319,11.901680553602509,Penalty,0.485,24.53954753320105,0.33929261445404474,1,0,0,0,0,0,forward,Normal,Left Foot,1,1,-1.0,-1.0,-1.0,0
19320,7.2917761896536515,Open Play,1.113619,6.547819487323449,0.8218783225203985,1,0,0,5,0,0,forward,Normal,Right Foot,1,0,-1.0,-1.0,-1.0,1
19321,58.22310537922209,Open Play,2.859636,20.36032046708815,0.6262923380375311,1,0,1,2,1,0,defender,Normal,Left Foot,1,0,10.78981,0.60085535,8.035863377188859,0
19322,20.472664701987377,Open Play,1.212099,16.890257893115475,0.4297622790966885,1,0,2,5,1,1,midfield,Normal,Right Foot,1,0,16.205246,0.74611706,16.136247469979203,0
19323,6.082762530298219,Open Play,1.941539,3.132959229919265,0.4636476090008061,1,0,2,4,2,0,forward,Normal,Head,1,0,24.166092,1.1441689,15.465309066420803,0
19324,8.602325267042627,Open Play,0.0911,94.42728064810787,0.9097531579442097,2,0,0,6,0,0,forward,Normal,Head,1,0,-1.0,-1.0,-1.0,0
19325,19.026297590440446,Open Play,0.963904,19.73878891512064,0.15660187698201536,1,0,2,4,2,0,forward,Normal,Right Foot,1,0,33.24154,1.2966288,9.355644444904259,0
19326,7.280109889280518,Open Play,0.857334,8.491567917848258,0.27829965900511133,1,0,2,5,2,0,midfield,Normal,Head,1,0,35.44009,1.2847449,21.79587348913819,1
19327,21.213203435596427,Open Play,0.6875,30.855568633594803,0.9025069079643125,1,0,1,2,1,0,forward,Normal,Right Foot,1,1,91.48224,0.27679816,29.82350793632611,0
19328,9.055385138137417,Open Play,0.516504,17.53207165508383,0.507098504392337,3,0,2,9,1,1,defender,Normal,Head,1,0,40.261642,1.821799,20.880429560416342,0
19329,1.0,Open Play,1.306247,0.7655519974399941,1.3258176636680326,1,0,2,7,2,0,midfield,Normal,Right Foot,0,0,-1.0,-1.0,-1.0,1
19330,17.69180601295413,Open Play,0.193681,91.3450777977919,0.5516549825285468,0,0,0,2,0,0,midfield,Normal,Right Foot,0,0,-1.0,-1.0,-1.0,0
19331,12.165525060596439,Open Play,0.408763,29.761805888978305,0.16514867741462683,1,0,4,6,3,1,midfield,Normal,Right Foot,1,0,-1.0,-1.0,-1.0,1
19332,13.92838827718412,Open Play,0.161301,86.35029092928202,0.6055446636049701,1,0,2,5,1,1,midfield,Normal,Right Foot,1,0,-1.0,-1.0,-1.0,0
19333,15.231546211727817,Open Play,0.76065,20.024382057093035,0.6202494859828215,1,0,2,5,1,1,forward,Normal,Right Foot,1,0,-1.0,-1.0,-1.0,0
19334,32.2490309931942,Open Play,1.539505,20.9476623935578,0.6202494859828215,7,0,0,1,0,0,defender,Normal,Right Foot,1,0,17.088007,2.782822,17.13427001968822,0
19335,8.06225774829855,Open Play,0.28,28.793777672494816,0.5585993153435624,5,1,2,9,2,0,defender,Normal,Left Foot,1,0,8.5440035,1.2120256,12.963137225485557,0
19336,2.23606797749979,Open Play,0.700033,3.1942322397655394,1.4056476493802699,3,0,4,7,4,0,midfield,Normal,Left Foot,1,0,-1.0,-1.0,-1.0,1
19337,22.360679774997898,Free Kick,1.0596,21.102944295015003,0.6107259643892086,3,0,1,7,0,1,defender,Normal,Right Foot,1,0,-1.0,-1.0,-1.0,0
19338,9.848857801796104,Open Play,0.42485,23.18196493302602,0.8960553845713439,1,0,0,3,0,0,forward,Normal,Left Foot,1,1,33.105892,0.43662715,15.380304779912015,0
19339,28.0,Open Play,0.905115,30.935295514934566,0.14189705460416394,1,0,1,2,1,0,midfield,Normal,Right Foot,1,0,17.20465,0.6202495,8.471858643926163,0
19340,9.219544457292887,Open Play,0.586978,15.706797285916826,0.5880026035475675,1,0,3,6,2,1,forward,Volley,Right Foot,1,0,29.0,1.5707964,9.133780594621715,0
19341,12.36931687685298,Open Play,0.2742,45.110564831703066,1.3854483767992019,0,0,1,4,1,0,forward,Normal,Right Foot,0,0,-1.0,-1.0,-1.0,0
19342,15.620499351813308,Open Play,0.229,68.21178756250353,0.4636476090008061,5,0,2,6,2,0,forward,Normal,Head,1,0,51.41984,1.8063413,22.728005891411673,0
19343,7.0710678118654755,Open Play,0.455,15.54080837772632,0.6202494859828215,2,0,5,12,3,2,midfield,Normal,Right Foot,1,0,-1.0,-1.0,-1.0,0
19344,3.0,Open Play,0.480518,6.243262479241152,0.9272952180016122,3,0,7,11,6,1,midfield,Normal,Right Foot,1,0,-1.0,-1.0,-1.0,1
19345,23.706539182259394,Open Play,1.106166,21.431267262110204,0.6202494859828215,2,0,2,5,2,0,midfield,Normal,Left Foot,1,0,-1.0,-1.0,-1.0,0
19346,32.38826948140329,Open Play,1.156795,27.99827928146585,0.031239833430268277,1,0,0,2,0,0,midfield,Normal,Right Foot,1,0,20.396078,1.7681919,14.640459550732228,1
19347,18.681541692269406,Open Play,1.157579,16.138459398684155,0.4636476090008061,2,0,1,7,1,0,midfield,Normal,Right Foot,1,0,-1.0,-1.0,-1.0,0
19348,13.601470508735444,Open Play,0.124493,109.25490195220168,0.0,1,0,2,3,2,0,forward,Normal,Right Foot,1,0,37.536648,0.7288547,14.585614889942185,0
19349,9.486832980505138,Open Play,1.166262,8.134392598322794,0.6610431688506869,5,0,1,9,1,0,forward,Normal,Head,1,0,43.931767,1.7771202,16.611347621484306,0
19350,34.92849839314596,Open Play,1.810763,19.289381544214212,0.3028848683749714,2,0,1,2,0,1,midfield,Normal,Right Foot,1,0,-1.0,-1.0,-1.0,0
19351,28.460498941515414,Free Kick,1.798148,15.827673217952812,1.2882413743253092,6,0,0,0,0,0,defender,Normal,Left Foot,1,0,-1.0,-1.0,-1.0,1
19352,24.596747752497688,Open Play,1.45956,16.852166236740995,0.5984188934785372,4,1,2,6,2,0,midfield,Normal,Right Foot,1,0,16.155495,1.19029,14.543336485331539,0
19353,22.20360331117452,Open Play,0.568,39.09085089995514,0.7568345055586884,1,0,2,5,2,0,midfield,Normal,Right Foot,1,0,6.708204,2.6779451,8.91218803308007,0
19354,29.68164415931166,Open Play,1.117866,26.552059154953866,0.4475199751571699,2,0,0,2,0,0,midfield,Normal,Right Foot,1,0,-1.0,-1.0,-1.0,0
19355,30.23243291566195,Open Play,3.551185,8.51333651039356,0.6986598247214632,1,0,0,5,0,0,midfield,Normal,Right Foot,1,0,-1.0,-1.0,-1.0,0
19356,36.07381321679203,Open Play,2.6339,13.695969177566358,0.40106625024165105,1,0,0,5,0,0,midfield,Half Volley,Right Foot,1,0,14.716658,3.0940096,12.07843675858326,0
19357,12.813274366843164,Open Play,0.670866,19.09960315002275,0.17916049921041513,1,0,4,8,3,1,midfield,Normal,Head,1,0,39.134895,1.8424271,22.456472665918753,0
19358,23.49489306211033,Open Play,1.11996,20.978332317324124,0.8150390753593573,1,0,1,6,1,0,midfield,Normal,Left Foot,1,0,4.2520585,2.4227626,6.57030504694159,0
19359,20.17176244159147,Open Play,0.7847,25.7063367421836,0.03516138195502841,1,0,2,4,2,0,forward,Normal,Right Foot,1,0,29.79547,0.21648476,14.496380683342803,0
19360,14.284257068535279,Open Play,2.535468,5.633775330051604,0.95724018128298,2,1,1,7,1,0,defender,Normal,Head,1,0,51.0816,1.8039047,17.8592260863969,0
19361,8.414867794564577,Open Play,0.697305,12.067700352879411,0.3947911196997613,1,0,2,8,2,0,midfield,Volley,Right Foot,1,0,27.747793,1.437054,21.495320003630315,1
19362,28.24623868765539,Open Play,1.559466,18.112763399558176,1.1001065806857782,1,0,1,2,1,0,defender,Normal,Right Foot,1,0,24.548931,0.37974995,14.068904950394634,1
19363,16.50757401921918,Open Play,1.836635,8.9879448116905,0.5252977796400652,2,1,1,9,1,0,defender,Half Volley,Right Foot,1,0,47.29334,1.8470628,23.003716091085163,0
19364,20.13181561608391,Free Kick,0.7627,26.395457737097033,0.08479617452320312,8,0,0,2,0,0,midfield,Normal,Right Foot,1,0,-1.0,-1.0,-1.0,0
19365,17.459095051004223,Open Play,0.1885,92.62119390453168,0.7212007870243152,5,0,5,9,3,2,midfield,Half Volley,Right Foot,1,0,-1.0,-1.0,-1.0,0
19366,23.547823678633232,Open Play,0.925281,25.449375571997297,0.7090441576027184,5,0,1,6,0,1,defender,Half Volley,Right Foot,1,0,-1.0,-1.0,-1.0,0
19367,11.941942890501533,Open Play,1.012,11.800338824606257,0.2469549451389249,1,1,3,6,2,1,midfield,Volley,Left Foot,1,0,25.793798,0.59230363,10.451397300500222,0
19368,17.78819833485111,Open Play,0.970674,18.325615330019254,0.47988748048847707,1,1,3,3,3,0,forward,Normal,Right Foot,1,0,12.847178,0.55777425,11.860536249608694,0
19369,17.307223925286223,Open Play,0.613828,28.19555954646289,0.2544763422561454,2,0,2,5,2,0,midfield,Half Volley,Right Foot,1,0,33.941124,1.4288993,24.64860239430231,0
19370,28.328254446753334,Open Play,0.888348,31.888690520779395,0.3742211047569335,1,0,2,5,2,0,midfield,Normal,Right Foot,1,0,13.912944,1.1328665,15.178860586703063,0
19371,10.332473082471592,Open Play,0.322486,32.04006711135241,0.475010756265097,1,0,2,4,1,1,midfield,Overhead Kick,Right Foot,1,0,31.369093,1.7018733,19.19655655679146,0
